,X001a,X001b,X002a,X002b,X003a,X003b,X004a,X004b,X005a,X005b,X006a,X006b,X007a,X007b,X008a,X008b,X009a,X009b,X011a,X011b,X012a,X012b,X013a,X013b,X014a,X014b,X015a,X015b,X016a,X016b,X017a,X017b,X018a,X018b,X019a,X019b,X020a,X020b
1623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,,
1624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,,
1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,156,,
1626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,184,,
1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,156,,
1628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,136,,
1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,166,,
1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,118,,
1631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,107,,
1632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,75,,
1633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,84,,
1634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,90,,
1635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,84,,
1636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,78,,
1637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,64,,
1638,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,,,,95,92,,
1639,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,87,93,,
1640,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,296,,,98,108,,
1641,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,240,204,204,243,248,63,73,,
1642,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,322,243,240,314,314,92,101,,
1643,,,,,,,,,,,,,,,,,,,,,71,72.87,,,,,,,,245,219,216,269,272,86,74,,
1644,,,,,,,,,,,,,,,,,,,,,89,84.49,,,,,,,171,156,130,124,185,196,54,63,,
1645,,,,,,,,,,,,,,,,,,,,,55,56.51,,,,,,,141,132,129,133,190,187,54,58,,
1646,,,,,,,,,,,,,,,,,,,,,54,66.44,,,,,,,95,98,97,95,118,128,42,50,,
1647,,,,,,,,,,,,,,,,,,,,,59,62.56,,,,,,,99,88,94,81,157,150,50,48,,
1648,,,,,,,,,,,,,,,,,,,,,56,65,,,,,,,83,84,96,100,129,131,48,39,,
1649,,,,,,,,,,,,,,,,,,,,,56,40,,,,,,,104,99,115,109,156,150,65,66,,
1650,,,,,,,,,,,,,,,,,,,,,36,39,,,,,,,84,85,101,96,98,105,50,58,,
1651,,,,,,,,,,,,,,,,,,,,,35,38,,,,,,,97,89,118,125,120,123,61,65,,
1652,,,,,,,,,,,,,,,,,,,,,76,86.29,,,,,,,117,114,144,145,138,146,95,101,,380
1653,,,,,,,,,,,,,,,,,,,,,45,48.71,,,,,,,82,86,101,96,94,87,62,62,,363
1654,175,190,,,,,,,,,,,,,,,,,,,32,33,,,,,,,59,46,76,77,69,66,58,61,,168
1655,170,177,,,,,,,,,,,,,,,,,,,42,48,,,,,,,45,54,67,72,85,86,36,38,179,166
1656,132,132,,,,,,,,,,,,,,,,,,,46,48,,,,,,,47,46,61,64,67,71,45,33,144,128
1657,101,101,,,,,,,,,,,,,,,,,,,38,39,,,,,,,51,51,55,61,66,60,50,41,105,99
1658,103,102,,,,,,,,,,,,,,,,,,,43,42,,,,,,,61,67,95,93,88,90,52,57,107,105
1659,128,130,,,,,,,,,,,,,,,,,,,42,48,,,284,,,,69,64,77,65,73,71,53,47,137,125
1660,109,108,,,,,,,,,,,,,,,,,,,42,45,,,290,,,,49,50,94,92,84,84,53,59,119,109
1661,135,132,,,,,,,,,,,,,,,,,,,31,26,,,254,,199.42,193.91,46,50,82,81,92,82,62,67,125,129
1662,81,81,,,,,,,,,,,,,,,,,,,39,36,,,257,,178.91,183.87,60,50,70,74,72,70,55,49,89,83
1663,58,55,,,,,,,,,,,,,,,,,,,32,39.53,,,232,,174.15,172.03,37,44,74,75,55,52,30,34,61,54
1664,77.77,73,,,,,,,,,,,,,,,,,,,45,48.47,,,152,159,163.39,162.22,81,74,79,76,88,88,68,,78,76
1665,79.23,73,,,,,,,,,,,,,,,,,,,34,33.82,,,206,221,123.65,120.14,37,42,69,68,68,64,37,,79,76
1666,109,108,,,,,,,,,,,,,,,,,,,51,58.18,,,141,144,148.75,152.5,61,59,84,90,99,87,50,,110,108
1667,50,46,,,,,,,131,130,,,,,,,,,,,29,31,,,149,157,83.46,87.08,27,41,50,49,58,44,32,,50,46
1668,79,80,,,,,,,156,161,,,,,,,,,,,43,44,,,102,126,126.33,118.42,61,42,70,71,75,72,40,,90,82
1669,46,47,,,,,,,110,111,,,,,,,,,,,36,36,,,111,114,82,88,37,37,45,46,60,58,42,,51,48
1670,43,37,,,,,,,82,81,,,,,,,,,,,26,30,,,139,162.38,68.4,75,24,24,46,38,57,50,35,,45,38
1671,82,86,,,,,,,168,165.33,,,,,,,,,,,50,51.95,,,145,152.62,98.92,98,58,54,63,64,46,46,50,,86,84
1672,94,86,,,,,,,136,131.67,,,,,,,,,,,57,57.05,,,194,198,100.68,94,57,61,85,80,69,68,47,,97,92
1673,55,54,,,,,,,152,153,,,,,,,,,,,52,56,,,162,158.67,98,99,50,44,71,77,62,61,34,,52,50
1674,68,65,,,,,,,129,130,,,,,,,,,,,36,37,,,140,160.33,88,90,54,62,73,81,80,60,62,,69,70
1675,57,55,,,,,,,80,85,,,,,,,,,,,40,42,,,152,136.33,82,84,41,29,61,53,57,56,,,56,58
1676,48,45,,,,,,,74,72,,,,,,,,,,,30,32,,,108,96.67,76,68,23,23,47,44,45,56,,,48,36
1677,37,33,,,,,,,71,70,,,,,,,,,,,41,48,,,121,104.76,72.5,74,29,26,57,63,44,34,,,42,39
1678,102,94,,,,,,,134,133,,,,,,,,,,,72,78,,,218,209.24,123.5,131,72,75,95,91,92,80,,,110,102
1679,69,69,,,,,,,76,76,,,,,,,,,,,42,39,,,147,149,80,81,44,40,51,52,74,75,,,68,66
1680,39,39,,,,,,,46,46,,,,,,,,,,,34,35,,,89,104.29,66,64,30,29,38,40,54,42,,,44.74,41
1681,66,60,,,,,,,88,90,,,,,,,,,,,42,45,,,135,120.71,72,71,45,43,64,61,57,54,,,62.26,58
1682,58,58,,,,,,,82,90,,,,,,,,,116,117,33,34,,,87,77.33,72,72,43,33,,51,60.63,62,,,58,58
1683,28,27,,,,,,,58,56.4,,,,,,,,,72,65,29,32,,,62,65.67,58,54,24,24,,40,47.37,38,,,30,28
1684,31.83,35.24,,,,,,,88,87.6,,,,,,,,,68,65,31,37,,,92,111,58,67,43,41,,31,,34,,,37.71,33
1685,48.17,53.76,,,,,,,58,62,,,,,,,,,69,72,22,18,,,86,79,74,69,,,,,,,,,52.29,56
1686,25,21,,,,,,,37,35,,119,,,,,,,47,55,14,12,,,46,54,40,39,,,,,,,,,23,44
1687,22,22,,,,,,,23,22,,93,,,,,,,44,51,13,10,,,55,46.25,42,43,,,,,,,,,19,43
1688,48,47,,,,,,,32,29,116,120,,,,,,,54.34,55,21,28.5,,,56,60.75,46,47,,,,,,,,,42,73
1689,72,69,,,,,,,53,56,129,135,,,,,,,65.66,53,27,32.5,,,57,63,52,52,,,,,,,,,68,85
1690,77,85.4,,,,,,,35,37,137,140,,,,,,,62,63,22,18,,,92,99.33,66,62,,,,,,,,,75,50
1691,56,52.6,,,,,,,19,16,100,94,,,,,,,46.23,46.23,14,12,,,62,64.67,52,52,,,,,,,,,56,53
1692,32,35,,,,,,,26,26,98,100,,,,,,,46.77,46.77,9,7,,,57,52,48,48,,,,,,,,,37,43
1693,21,21,,,,,,,20,20,74,75,,,,,,,40,35,10,15,,,23,32,34,36,,,,,,,,,15,51
1694,44,43,,,,,,,56,56,121.82,123.08,,,,,,,52,57,47,45,,,58,57,52,53,,,,,,,,,37,42
1695,51,49,,,,,,,49.88,50,114.18,118.92,,,,,,190,62,62,35,33.25,,,60,67,60,58,,,,,,,,,49,
1696,43,44,,,,,,,83.12,82,116,118,,,,,,111,50,50,29,30.21,,,42,52,62,60,,,,,,,,,48,
1697,29,28,,,,,,,54,56,114,108,,,147.47,152,,169,42,42,19,24.54,,,27,26,50,49,,,,,,,,,,
1698,23,22,,,,,,,43,43,112,107,,,121.21,122,,181,30,30,20,20,,,33,40.66,48,47,,,,,,,,,,
1699,21,23,106,110,,93,,,36,36,82,86,,,87.85,93,74,73,33,27,23,18,,,27,24.65,38,42,,,,,,,,,,
1700,16,21,136,140.66,,102,,,35,37,110,113,,,107.82,108,84,86,28,34,27,29,78,82,35,36.02,48,47,,,,,,,,,,
1701,18.9,21,119.76,113.34,102,101,258,,24,27,98.58,94.1,,,96,97,64,63,37,37,22,20,59,57,35,42.06,48,49,,,,,,,,,,
1702,7.1,11,64.24,66,64.62,63,120,118,11,8,44.42,42.9,,,58,59,32,32,25,25,7,8,30,28,15,15.61,24,28,,,,,,,,,,
1703,24,23,102,107,102.38,105,171,164,26,25,72,74,328,,81,79,77,79,25,25,24,23.37,54,50,38,33.27,42,41,,,,,,,,,,
1704,20,21,92,88,105.52,104.18,132,129,19,17,42,41,313,,79,77,85,82,37,37,22,24.63,54,56,41,45.08,40,45,,,,,,,,,,
1705,28,30,92,93,110.11,108.52,132,129,48,49,70.86,71.9,277,,60,63,43,42,30,32,26,26,51,52,39,37.65,60,46,,,,,,,,,,
1706,26,24,60,70,71.37,72.3,94,97,24,22,40.14,43.1,185,190,47,46,87,88,28,26,15,15,41,37,20,25.45,29.38,38,,,,,,,,,,
1707,17.88,19.35,76,82.8,76,76,80,80,40,42,57,55,205,203,41.1,34,68,68,22,22,16,15,31,36,26,29.15,46.62,38,,,,,,,,,,
1708,13.12,13.65,60,45.2,91,91,62,62,27,26,39,38,158,159,40.07,44,99,98,25,25,8,9,27,28,19,19.4,42,47,,,,,,,,,,
1709,30,29,66,71,85,86,48,49,18,33,22.7,23,131,136,29.83,29,63,64,25,19,11,13,27,26,,,36,33.48,,,,,,,,,,
1710,20,22,82,78,104.46,101.11,46,48,17.88,41,26.3,22,133,132,38.23,38,70,70,27,29,16,17.84,36,34,,,34,32.52,,,,,,,,,,
1711,31,31.3,84,90,107.54,108.89,61,60,38.12,21.65,43,46.13,148,150.92,44.77,37,43,44,29,33,23,25.16,34,37,,,40,46,,,,,,,,,,
1712,22.68,22.7,73,75.67,89,88.27,53,54,19,34.77,32.62,31.07,129,128.97,36,38,78,78.73,32,29,11,8.93,32,29,,,46,41,,,,,,,,,,
1713,11.32,11,72,67.33,83,80.92,55,56,38,46.58,35.38,41.81,114.08,116.68,35,38,69,67.27,27,30,14,15.07,28,29,,,34,34,,,,,,,,,,
1714,22.7,26,110,107,113.48,112.81,76,74,48,39,69,73,144.92,140.42,52,49,100,100,33,33,27,27,41,45,,,68,69,,,,,,,,,,
1715,20.3,27,90,86,94.52,95,57,56,58,25,86,88,146,154.84,57,59,115,115,31.22,31.22,13,12,41,40,,,54,55,,,,,,,,,,
1716,27,30.6,126,130,108,112.17,56,55,77,82,90,93,174,171.16,65,61,117,104,32.78,32.78,27,30,45.74,42.85,,,59.48,56,,,,,,,,,,
1717,46.75,47.4,110,121,120.59,116.06,85,86,109,91,81,82,180,178,57,52.01,100,112,46,46,36,38,53.26,53.15,,,63.83,66,,,,,,,,,,
1718,71.25,56.53,80,70,129.41,129.78,78,75,88,86,92,91,188,196,79,84.99,134,134,47,45,34,36,58.17,58,,,72.7,68,,,,,,,,,,
1719,17,26.07,90,98.87,72,72,48,47,40,38,57,80,118,124,44,39,60,64,25,27,15,18,30.83,27,,,30,37,,,,,,,,,,
1720,17,14.4,107.38,96.9,81.66,82,50,49,115,104.81,82,80,105,106,63,67.01,86,82,27,27,23,21,39,40,,,58,47,,,,,,,,,,
1721,39,41.28,113.62,121.22,89.92,90,50.04,50,106,116.19,86.95,89.42,125,128,60,62.99,108,110,40,40,42,38,47,44,,,54,65,,,,,,,,,,
1722,20,25.72,66,72.62,53.34,53,40.96,41.44,21,27,37.05,41.58,76,76,31,25,41,41,28,28,11,16,28,27,,,42,37,,,,,,,,,,
1723,20,24,37.81,37.38,55.09,57,38,38.56,25,25.62,46,42,81,84,30,27,28,27,26,26,13,12,23,23,,,26,29,,,,,,,,,,
1724,27,34,79.94,80,59,59,39,36,32,30.38,41,44,96,94,46,48,22,26,32,32,21,18,24,24,,,36,33,,,,,,,,,,
1725,29,41,51.61,53,43,43.62,56,56,47,44.89,65,67,99,102,67,62,40,35,28,26,24,20,34,32,,,48,44,,,,,,,,,,
1726,48,50,59.65,60,71,69.38,55,54,44,43.11,54.96,53,105,102,59,57,39,40,40,42,23,32,32,31,,,26,40,,,,,,,,,,
1727,76,62.27,75.52,71.63,74,74,67,67,86,87,60.04,72,135,142,73,73.01,55,53,45.19,45.19,29,36,42,39,,,42,36,,,,,,,,,,
1728,31,35.4,74.48,84.37,60.98,62.18,48,49,56,53.56,61.77,52.46,91,98,58,54.99,56,57,28.81,28.81,25,23,33,35,,,37.27,36,,,,,,,,,,
1729,34,34.69,81,82,52.02,51.82,48,48.9,73,71.44,72.23,69.54,96,108,46,46,67,69,30,30,27,29,36,34,,,36.73,41,,,,,,,,,,
1730,35,37.05,72,60,48.89,49.25,42,40.1,66,64,47.82,53,86,90,36,32,48,46,27,27,30,29,30,30,,,38,43,,,,,,,,,,
1731,18,16.59,46,57.77,37.11,36.23,26.34,24,32,33,26.18,37,71,68,21,22,24,24,16,16,14,18,19,21,,,28,26,,,,,,,,,,
1732,38,32,72,66.23,56,54.52,31.66,34.74,56,55,52,53,88.18,100,44,42,56,58,22,22,27,30,26,23,,,40,39,,,,,,,,,,
1733,30,27,49,48,42,46,45,45.26,46,42,42,52,83.18,100,43,52,38,45,32,32,26,28,28,27,,,30,32,,,,,,,,,,
1734,55,54,135.28,145,47,46,41,37,74,77,57,75,93.64,105,56,59,90,80,24,24,43,47.25,30,25,,,36,34,,,,,,,,,,
1735,,70,92.72,104,77,79.21,66.13,62,88,86,97,97,137,158,84,80,125,127,50,50,59,53.75,43,47,,,62,67,,,,,,,,,,
1736,,27,84.69,79.62,51,53.79,37.87,39,,54,66,68,89,105,36,33,70,69,23,23,22,22,32,30,,,38,41,,,,,,,,,,
1737,,27,43.31,39.38,42.65,43,32,34.43,,48,42,50.24,84,79,15,21,56,65,20,20,22,21.55,0,26,,,42,40,,,,,,,,,,
1738,,,59,68,45.35,42,27,22.57,,,39,36.87,73,75,,23,66,56,20,20,,,,,,,38,38,,,,,,,,,,
1739,,,81,88,,,17,15.82,,,34,33.88,78,,,,,,,,,,,,,,26,31,,,,,,,,,,
1740,,,,,,,15,19.18,,,32,35,,,,,,,,,,,,,,,,,,,,,,,,,,
